db,vectors,insert_time,search_time
Milvus,1000,3.3647568225860596,0.3690100431442261
Weaviate,1000,1.644355297088623,0.0015917301177978515
Qdrant,1000,0.2071373462677002,0.0016342639923095704
Brute-Force,1000,0.0,0.0009871959686279298
Milvus,10000,3.3623063564300537,0.4031232357025146
Weaviate,10000,4.0083348751068115,0.002926206588745117
Qdrant,10000,2.046612024307251,0.002881288528442383
Brute-Force,10000,0.0,0.008542108535766601
Milvus,100000,6.370948076248169,0.38150577545166015
Weaviate,100000,46.1178297996521,0.0052566051483154295
Qdrant,100000,22.45631694793701,0.018035292625427246
Brute-Force,100000,0.0,0.08507270812988281
Milvus,1000000,49.418482065200806,0.407027268409729
Weaviate,1000000,1000.0859944820404,0.08472514152526855
Qdrant,1000000,254.01831769943237,0.1097935676574707
Brute-Force,1000000,0.0,0.8463179349899292
Milvus,2000000,101.36613726615906,0.3916209936141968
Qdrant,2000000,536.5638446807861,0.0742903470993042
Brute-Force,2000000,0.0,1.6920395612716674
Milvus,5000000,279.69780921936035,0.3721733093261719
Qdrant,5000000,1383.6561393737793,0.16072521209716797
Brute-Force,5000000,0.0,4.18837149143219
